Result,Score,Bonus,Total score,Play Time,Date

WIN,200,35,235,24.3,2022-05-07

WIN,300,28,328,31.045,2022-05-07

LOSE,0,52,52,7.069,2022-05-07

LOSE,0,-47,-47,107.918,2022-05-07

LOSE,0,58,58,1.359,2022-05-07

WIN,200,22,222,37.162,2022-05-08
WIN,200,28,228,31.829,2022-05-08
LOSE,0,53,53,6.556,2022-05-08
WIN,200,38,238,21.242,2022-05-08
WIN,300,24,324,35.652,2022-05-08
WIN,200,19,219,40.004,2022-05-08
LOSE,0,49,49,10.128,2022-05-08
LOSE,0,49,49,10.766,2022-05-08
WIN,200,34,234,25.259,2022-05-09
LOSE,0,50,50,9.264,2022-05-09
LOSE,0,51,51,8.577,2022-05-10
LOSE,0,49,49,10.958,2022-05-10
LOSE,100,-20,80,80.619,2022-05-10
LOSE,0,51,51,8.375,2022-05-10
LOSE,0,54,54,5.14,2022-05-10
WIN,200,37,237,22.949,2022-05-10
LOSE,0,58,58,1.059,2022-05-10
LOSE,0,55,55,4.585,2022-05-10
LOSE,100,47,147,12.254,2022-05-10
LOSE,0,47,47,12.06,2022-05-10
LOSE,0,56,56,3.691,2022-05-10
LOSE,0,55,55,4.786,2022-05-10
LOSE,0,49,49,10.593,2022-05-10
WIN,200,34,234,25.595,2022-05-16
WIN,200,53,253,6.6,2022-05-16
WIN,200,9,209,50.83,2022-05-16
WIN,200,9,209,50.83,2022-05-16
WIN,200,52,252,7.869,2022-05-23
LOSE,0,55,55,4.454,2022-05-23
WIN,200,53,253,6.756,2022-05-24
LOSE,0,57,57,2.981,2022-05-24
LOSE,100,50,150,9.387,2022-05-24
WIN,200,40,240,19.396,2022-07-10
LOSE,0,55,55,4.055,2022-07-10
LOSE,0,55,55,4.073,2022-07-10
LOSE,0,58,58,1.967,2022-07-10
LOSE,0,55,55,4.23,2022-07-10
LOSE,0,56,56,3.727,2022-07-10
WIN,200,51,251,8.918,2022-07-10
LOSE,0,59,59,0.811,2022-07-10
WIN,300,42,342,17.883,2022-07-10
LOSE,0,42,42,17.773,2022-07-10
LOSE,0,58,58,1.162,2022-07-10
LOSE,0,57,57,2.67,2022-07-10
LOSE,0,59,59,0.708,2022-07-10
LOSE,0,58,58,1.984,2022-07-10
LOSE,0,58,58,1.715,2022-07-10
LOSE,0,58,58,1.059,2022-07-10
WIN,200,51,251,8.167,2022-07-10
WIN,200,51,251,8.167,2022-07-10
LOSE,0,57,57,2.262,2022-07-10
WIN,300,44,344,15.059,2022-07-10
WIN,300,44,344,15.059,2022-07-10
WIN,300,39,339,20.62,2022-07-10
LOSE,0,53,53,6.142,2022-07-10
WIN,200,52,252,7.157,2022-07-10
WIN,200,54,254,5.803,2022-07-10
WIN,200,43,243,16.216,2022-07-10
WIN,200,50,250,9.875,2022-07-11
WIN,200,38,238,21.008,2022-07-11
WIN,200,22,222,37.263,2022-07-11
WIN,200,44,244,15.609,2022-07-11
WIN,200,46,246,13.298,2022-07-11
LOSE,0,56,56,3.934,2022-07-11
WIN,200,10,210,49.411,2022-07-11
WIN,200,44,244,15.318,2022-07-11
LOSE,0,58,58,1.059,2022-07-11
LOSE,0,58,58,1.359,2022-07-11
LOSE,0,58,58,1.617,2022-07-11
LOSE,0,58,58,1.011,2022-07-11
LOSE,100,52,152,7.857,2022-07-11
WIN,200,42,242,17.343,2022-07-11
